List of gene ontology (GO) terms and the difference in abundances (RT - SC) between proteins with them.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,(RT abundance) - (SC abundance) / sqrt(2)
GO Term Identifier,GO Term Obsolete,GO Term Name,GO Term Namespace,GO Term Description,Parents Name,Parents Identifier,Parents Namespace,Parents Description,kids,median dist from 45-degree,proteins w/ term or its kids,higher RT or SC?,is metabolic process?,involved in generating precursor metabolites/energy?,kids2,net dist from 45-degree
GO:0015035,FALSE,protein-disulfide reductase activity,molecular_function,Catalysis of the reaction: a protein with reduced sulfide groups = a protein with oxidized disulfide bonds.,catalytic activity,GO:0003824,molecular_function,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.",GO:0004791; GO:0015035; GO:0016971; GO:0019153,-0.000360421,3,SC,#CALC!,"GO:0004791,GO:0016971,GO:0019153",GO:0004791; GO:0016971; GO:0019153,-0.000789862
GO:0015036,FALSE,disulfide oxidoreductase activity,molecular_function,Catalysis of the reaction: substrate with reduced sulfide groups = substrate with oxidized disulfide bonds.,catalytic activity,GO:0003824,molecular_function,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.",GO:0004362; GO:0004791; GO:0015035; GO:0015036; GO:0015038; GO:0016971; GO:0016972; GO:0019153; GO:0045174,-1.56076E-05,7,SC,#CALC!,"GO:0004362,GO:0004791,GO:0015035,GO:0015038,GO:0016971,GO:0016972,GO:0019153,GO:0045174",GO:0004362; GO:0004791; GO:0015035; GO:0015038; GO:0016971; GO:0016972; GO:0019153; GO:0045174,-0.000835808
GO:0015038,FALSE,glutathione disulfide oxidoreductase activity,molecular_function,Catalysis of the reaction: 2 glutathione + electron acceptor = glutathione disulfide + electron donor.,catalytic activity,GO:0003824,molecular_function,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.",GO:0004362; GO:0015038; GO:0045174,-5.66909E-06,3,SC,#CALC!,"GO:0004362,GO:0045174",GO:0004362; GO:0045174,-5.76147E-05
GO:0015039,FALSE,NADPH-adrenodoxin reductase activity,molecular_function,Catalysis of the reaction: oxidized adrenodoxin + NADPH + H+ = reduced adrenodoxin + NADP+.,catalytic activity,GO:0003824,molecular_function,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.",GO:0015039,2.79434E-05,1,RT,#CALC!,,#CALC!,2.79434E-05
GO:0018188,FALSE,peptidyl-proline di-hydroxylation,biological_process,"The modification of peptidyl-proline to form trans-2,3-cis-3,4-dihydroxy-L-proline.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0018188,0,0,equal in both,1,,#CALC!,0
GO:0015078,FALSE,proton transmembrane transporter activity,molecular_function,Enables the transfer of a proton from one side of a membrane to the other.,biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0004129; GO:0005351; GO:0005352; GO:0005364; GO:0005366; GO:0008121; GO:0008553; GO:0010486; GO:0015078; GO:0015295; GO:0015369; GO:0015385; GO:0015386; GO:0015495; GO:0046933; GO:0046961; GO:0097079,7.56383E-05,24,RT,#CALC!,"GO:0004129,GO:0005351,GO:0005352,GO:0005364,GO:0005366,GO:0008121,GO:0008553,GO:0010486,GO:0015295,GO:0015369,GO:0015385,GO:0015386,GO:0015495,GO:0046933,GO:0046961,GO:0097079",GO:0004129; GO:0005351; GO:0005352; GO:0005364; GO:0005366; GO:0008121; GO:0008553; GO:0010486; GO:0015295; GO:0015369; GO:0015385; GO:0015386; GO:0015495; GO:0046933; GO:0046961; GO:0097079,0.00739644
GO:0015079,FALSE,potassium ion transmembrane transporter activity,molecular_function,Enables the transfer of potassium ions (K+) from one side of a membrane to the other.,biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0005267; GO:0008556; GO:0015079; GO:0015379; GO:0015386; GO:0140107,8.51034E-05,2,RT,#CALC!,"GO:0005267,GO:0008556,GO:0015379,GO:0015386,GO:0140107",GO:0005267; GO:0008556; GO:0015379; GO:0015386; GO:0140107,0.000170207
GO:0015085,FALSE,calcium ion transmembrane transporter activity,molecular_function,Enables the transfer of calcium (Ca) ions from one side of a membrane to the other.,biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0005262; GO:0005388; GO:0015085; GO:0015275; GO:0015369,0,0,equal in both,#CALC!,"GO:0005262,GO:0005388,GO:0015275,GO:0015369",GO:0005262; GO:0005388; GO:0015275; GO:0015369,0
GO:0015086,FALSE,cadmium ion transmembrane transporter activity,molecular_function,Enables the transfer of cadmium (Cd) ions from one side of a membrane to the other.,biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0008551; GO:0015086; GO:0015434,-1.19077E-05,1,SC,#CALC!,"GO:0008551,GO:0015434",GO:0008551; GO:0015434,-1.19077E-05
GO:0015087,FALSE,cobalt ion transmembrane transporter activity,molecular_function,Enables the transfer of cobalt (Co) ions from one side of a membrane to the other.,biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0015087,0,0,equal in both,#CALC!,,#CALC!,0
GO:0015093,FALSE,ferrous iron transmembrane transporter activity,molecular_function,Enables the transfer of ferrous iron (Fe(II) or Fe2+) ions from one side of a membrane to the other.,biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0015093,0,0,equal in both,#CALC!,,#CALC!,0
GO:0015095,FALSE,magnesium ion transmembrane transporter activity,molecular_function,Enables the transfer of magnesium (Mg) ions from one side of a membrane to the other.,biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0015095,0,0,equal in both,#CALC!,,#CALC!,0
GO:0015104,FALSE,antimonite transmembrane transporter activity,molecular_function,Enables the transfer of antimonite from one side of a membrane to the other.,antimonite transmembrane transporter activity,GO:0015104,molecular_function,Enables the transfer of antimonite from one side of a membrane to the other.,GO:0015104,0,0,equal in both,#CALC!,,#CALC!,0
GO:0015105,FALSE,arsenite transmembrane transporter activity,molecular_function,Enables the transfer of arsenite from one side of a membrane to the other.,arsenite transmembrane transporter activity,GO:0015105,molecular_function,Enables the transfer of arsenite from one side of a membrane to the other.,GO:0015105,0,0,equal in both,#CALC!,,#CALC!,0
GO:0015116,FALSE,sulfate transmembrane transporter activity,molecular_function,"Enables the transfer of sulfate ions, SO4(2-), from one side of a membrane to the other.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0008271; GO:0015116,-7.76198E-05,2,SC,#CALC!,GO:0008271,GO:0008271,-0.00015524
GO:0015117,FALSE,thiosulfate transmembrane transporter activity,molecular_function,"Enables the transfer of thiosulfate ions, S2O3(2-), from one side of a membrane to the other.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0015117,1.09338E-05,1,RT,#CALC!,,#CALC!,1.09338E-05
GO:0015123,FALSE,acetate transmembrane transporter activity,molecular_function,Enables the transfer of acetate from one side of a membrane to the other. Acetate is the 2-carbon carboxylic acid ethanoic acid.,acetate transmembrane transporter activity,GO:0015123,molecular_function,Enables the transfer of acetate from one side of a membrane to the other. Acetate is the 2-carbon carboxylic acid ethanoic acid.,GO:0015123,0,0,equal in both,#CALC!,,#CALC!,0
GO:0015124,FALSE,allantoate transmembrane transporter activity,molecular_function,"Enables the transfer of allantoate from one side of a membrane to the other. Allantoate is the end product of purine metabolism in mammals and some fish, formed form allantoin. It is widely distributed in plants as an important source of stored nitrogen.",allantoate transmembrane transporter activity,GO:0015124,molecular_function,"Enables the transfer of allantoate from one side of a membrane to the other. Allantoate is the end product of purine metabolism in mammals and some fish, formed form allantoin. It is widely distributed in plants as an important source of stored nitrogen.",GO:0015124,0,0,equal in both,#CALC!,,#CALC!,0
GO:0015127,FALSE,bilirubin transmembrane transporter activity,molecular_function,"Enables the transfer of bilirubin from one side of a membrane to the other. Bilirubin is a linear tetrapyrrole produced in the reticuloendothelial system from biliverdin and transported to the liver as a complex with serum albumin. In the liver, bilirubin is converted to bilirubin bisglucuronide, which is excreted in the bile.",bilirubin transmembrane transporter activity,GO:0015127,molecular_function,"Enables the transfer of bilirubin from one side of a membrane to the other. Bilirubin is a linear tetrapyrrole produced in the reticuloendothelial system from biliverdin and transported to the liver as a complex with serum albumin. In the liver, bilirubin is converted to bilirubin bisglucuronide, which is excreted in the bile.",GO:0015127,-1.19077E-05,1,SC,#CALC!,,#CALC!,-1.19077E-05
GO:0015131,FALSE,oxaloacetate transmembrane transporter activity,molecular_function,"Enables the transfer of oxaloacetate, the anion of oxobutanedioic acid, from one side of a membrane to the other.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0015131,-7.76198E-05,2,SC,#CALC!,,#CALC!,-0.00015524
GO:0015136,FALSE,sialic acid transmembrane transporter activity,molecular_function,Enables the transfer of sialic acid from one side of a membrane to the other.,biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0015136,0,0,equal in both,#CALC!,,#CALC!,0
GO:0015140,FALSE,malate transmembrane transporter activity,molecular_function,"Enables the transfer of malate from one side of a membrane to the other. Malate is a chiral hydroxydicarboxylic acid, hydroxybutanedioic acid. The (+) enantiomer is an important intermediate in metabolism as a component of both the TCA cycle and the glyoxylate cycle.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0015140,1.09338E-05,1,RT,#CALC!,,#CALC!,1.09338E-05
GO:0015141,FALSE,succinate transmembrane transporter activity,molecular_function,"Enables the transfer of succinate, the dianion of ethane dicarboxylic acid, from one side of a membrane to the other.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0015141,1.09338E-05,1,RT,#CALC!,,#CALC!,1.09338E-05
GO:0015146,FALSE,pentose transmembrane transporter activity,molecular_function,Enables the transfer of a pentose sugar from one side of a membrane to the other. Pentose is a monosaccharide with 5 carbon atoms.,biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0015146,0,0,equal in both,#CALC!,,#CALC!,0
GO:0015151,FALSE,alpha-glucoside transmembrane transporter activity,molecular_function,"Enables the transfer of alpha-glucosides from one side of a membrane to the other. Alpha-glucosides are glycosides in which the sugar group is a glucose residue, and the anomeric carbon of the bond is in an alpha configuration.",alpha-glucoside transmembrane transporter activity,GO:0015151,molecular_function,"Enables the transfer of alpha-glucosides from one side of a membrane to the other. Alpha-glucosides are glycosides in which the sugar group is a glucose residue, and the anomeric carbon of the bond is in an alpha configuration.",GO:0005352; GO:0015151,0,0,equal in both,#CALC!,GO:0005352,GO:0005352,0
GO:0015168,FALSE,glycerol transmembrane transporter activity,molecular_function,"Enables the transfer of glycerol from one side of a membrane to the other. Glycerol is 1,2,3-propanetriol, a sweet, hygroscopic, viscous liquid, widely distributed in nature as a constituent of many lipids.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0015168; GO:0015254,0,0,equal in both,#CALC!,GO:0015254,GO:0015254,0
GO:0015169,FALSE,glycerol-3-phosphate transmembrane transporter activity,molecular_function,Enables the transfer of glycerol-3-phosphate from one side of a membrane to the other. Glycerol-3-phosphate is a phosphoric monoester of glycerol.,biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0015169,0,0,equal in both,#CALC!,,#CALC!,0
GO:0015171,FALSE,amino acid transmembrane transporter activity,molecular_function,Enables the transfer of amino acids from one side of a membrane to the other. Amino acids are organic molecules that contain an amino group and a carboxyl group.,amino acid transmembrane transporter activity,GO:0015171,molecular_function,Enables the transfer of amino acids from one side of a membrane to the other. Amino acids are organic molecules that contain an amino group and a carboxyl group.,GO:0000064; GO:0001761; GO:0005290; GO:0005291; GO:0005300; GO:0005302; GO:0005313; GO:0015171; GO:0015173; GO:0015174; GO:0015175; GO:0015183; GO:0015184; GO:0015186; GO:0015187; GO:0015188; GO:0015189; GO:0015192; GO:0015193; GO:0015194; GO:0015495; GO:0022893; GO:0061459,1.37969E-05,9,RT,#CALC!,"GO:0000064,GO:0001761,GO:0005290,GO:0005291,GO:0005300,GO:0005302,GO:0005313,GO:0015173,GO:0015174,GO:0015175,GO:0015183,GO:0015184,GO:0015186,GO:0015187,GO:0015188,GO:0015189,GO:0015192,GO:0015193,GO:0015194,GO:0015495,GO:0022893,GO:0061459",GO:0000064; GO:0001761; GO:0005290; GO:0005291; GO:0005300; GO:0005302; GO:0005313; GO:0015173; GO:0015174; GO:0015175; GO:0015183; GO:0015184; GO:0015186; GO:0015187; GO:0015188; GO:0015189; GO:0015192; GO:0015193; GO:0015194; GO:0015495; GO:0022893; GO:0061459,0.000384496
GO:0015173,FALSE,aromatic amino acid transmembrane transporter activity,molecular_function,Enables the transfer of aromatic amino acids from one side of a membrane to the other. Aromatic amino acids have an aromatic ring.,amino acid transmembrane transporter activity,GO:0015171,molecular_function,Enables the transfer of amino acids from one side of a membrane to the other. Amino acids are organic molecules that contain an amino group and a carboxyl group.,GO:0005290; GO:0005291; GO:0005300; GO:0005302; GO:0015173; GO:0015192; GO:0022893,5.13074E-06,2,RT,#CALC!,"GO:0005290,GO:0005291,GO:0005300,GO:0005302,GO:0015192,GO:0022893",GO:0005290; GO:0005291; GO:0005300; GO:0005302; GO:0015192; GO:0022893,1.02615E-05
GO:0015174,FALSE,basic amino acid transmembrane transporter activity,molecular_function,Enables the transfer of basic amino acids from one side of a membrane to the other. Basic amino acids have side chains with a positive charge at pH 7.3.,amino acid transmembrane transporter activity,GO:0015171,molecular_function,Enables the transfer of amino acids from one side of a membrane to the other. Amino acids are organic molecules that contain an amino group and a carboxyl group.,GO:0005290; GO:0005291; GO:0015174; GO:0015189; GO:0061459,0,0,equal in both,#CALC!,"GO:0005290,GO:0005291,GO:0015189,GO:0061459",GO:0005290; GO:0005291; GO:0015189; GO:0061459,0
GO:0015175,FALSE,neutral L-amino acid transmembrane transporter activity,molecular_function,Enables the transfer of neutral L-amino acids from one side of a membrane to the other. Neutral amino acids have side chains with no charge at pH 7.3.,amino acid transmembrane transporter activity,GO:0015171,molecular_function,Enables the transfer of amino acids from one side of a membrane to the other. Amino acids are organic molecules that contain an amino group and a carboxyl group.,GO:0001761; GO:0015175; GO:0015186; GO:0015187; GO:0015188; GO:0015193,1.31919E-05,3,RT,#CALC!,"GO:0001761,GO:0015186,GO:0015187,GO:0015188,GO:0015193",GO:0001761; GO:0015186; GO:0015187; GO:0015188; GO:0015193,2.34534E-05
GO:0015183,FALSE,L-aspartate transmembrane transporter activity,molecular_function,Enables the transfer of L-aspartate from one side of a membrane to the other. L-aspartate is the anion derived from aspartic acid.,acidic amino acid transmembrane transporter activity,GO:0015172,molecular_function,Enables the transfer of acidic amino acids from one side of a membrane to the other. Acidic amino acids have side chains with a negative charge at pH 7.3.,GO:0015183,0.000113629,2,RT,#CALC!,,#CALC!,0.000227258
GO:0015184,FALSE,L-cystine transmembrane transporter activity,molecular_function,Enables the transfer of L-cystine from one side of a membrane to the other.,amino acid transmembrane transporter activity,GO:0015171,molecular_function,Enables the transfer of amino acids from one side of a membrane to the other. Amino acids are organic molecules that contain an amino group and a carboxyl group.,GO:0015184,0,0,equal in both,#CALC!,,#CALC!,0
GO:0015186,FALSE,L-glutamine transmembrane transporter activity,molecular_function,Enables the transfer of L-glutamine from one side of a membrane to the other. L-glutamine is 2-amino-4-carbamoylbutanoic acid.,amino acid transmembrane transporter activity,GO:0015171,molecular_function,Enables the transfer of amino acids from one side of a membrane to the other. Amino acids are organic molecules that contain an amino group and a carboxyl group.,GO:0015186,5.13074E-06,2,RT,#CALC!,,#CALC!,1.02615E-05
GO:0015187,FALSE,glycine transmembrane transporter activity,molecular_function,Enables the transfer of glycine from one side of a membrane to the other. Glycine is aminoethanoic acid.,amino acid transmembrane transporter activity,GO:0015171,molecular_function,Enables the transfer of amino acids from one side of a membrane to the other. Amino acids are organic molecules that contain an amino group and a carboxyl group.,GO:0015187,1.31919E-05,1,RT,#CALC!,,#CALC!,1.31919E-05
GO:0015188,FALSE,L-isoleucine transmembrane transporter activity,molecular_function,"Enables the transfer of L-isoleucine from one side of a membrane to the other. L-isoleucine is (2R*,3R*)-2-amino-3-methylpentanoic acid.",amino acid transmembrane transporter activity,GO:0015171,molecular_function,Enables the transfer of amino acids from one side of a membrane to the other. Amino acids are organic molecules that contain an amino group and a carboxyl group.,GO:0015188,5.13074E-06,2,RT,#CALC!,,#CALC!,1.02615E-05
GO:0015189,FALSE,L-lysine transmembrane transporter activity,molecular_function,"Enables the transfer of L-lysine from one side of a membrane to the other. L-lysine is 2,6-diaminohexanoic acid.",amino acid transmembrane transporter activity,GO:0015171,molecular_function,Enables the transfer of amino acids from one side of a membrane to the other. Amino acids are organic molecules that contain an amino group and a carboxyl group.,GO:0015189,0,0,equal in both,#CALC!,,#CALC!,0
GO:0015192,FALSE,L-phenylalanine transmembrane transporter activity,molecular_function,Enables the transfer of L-phenylalanine from one side of a membrane to the other. L-phenylalanine is 2-amino-3-phenylpropanoic acid.,amino acid transmembrane transporter activity,GO:0015171,molecular_function,Enables the transfer of amino acids from one side of a membrane to the other. Amino acids are organic molecules that contain an amino group and a carboxyl group.,GO:0015192,0,0,equal in both,#CALC!,,#CALC!,0
GO:0015193,FALSE,L-proline transmembrane transporter activity,molecular_function,Enables the transfer of L-proline from one side of a membrane to the other. L-proline is pyrrolidine-2-carboxylic acid.,amino acid transmembrane transporter activity,GO:0015171,molecular_function,Enables the transfer of amino acids from one side of a membrane to the other. Amino acids are organic molecules that contain an amino group and a carboxyl group.,GO:0015193,0,0,equal in both,#CALC!,,#CALC!,0
GO:0015194,FALSE,L-serine transmembrane transporter activity,molecular_function,Enables the transfer of L-serine from one side of a membrane to the other. L-serine is the L-enantiomer of 2-amino-3-hydroxypropanoic acid.,amino acid transmembrane transporter activity,GO:0015171,molecular_function,Enables the transfer of amino acids from one side of a membrane to the other. Amino acids are organic molecules that contain an amino group and a carboxyl group.,GO:0015194,0,0,equal in both,#CALC!,,#CALC!,0
GO:0015203,FALSE,polyamine transmembrane transporter activity,molecular_function,"Enables the transfer of polyamines, organic compounds containing two or more amino groups, from one side of a membrane to the other.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0000297; GO:0015203; GO:0015489; GO:0015606,-4.21581E-06,2,SC,#CALC!,"GO:0000297,GO:0015489,GO:0015606",GO:0000297; GO:0015489; GO:0015606,-8.43162E-06
GO:0015204,FALSE,urea transmembrane transporter activity,molecular_function,Enables the transfer of urea from one side of a membrane to the other. Urea is the water soluble compound H2N-CO-NH2.,amide transmembrane transporter activity,GO:0042887,molecular_function,"Enables the transfer of an amide, any compound containing one, two, or three acyl groups attached to a nitrogen atom, from one side of a membrane to the other.",GO:0015204,0,0,equal in both,#CALC!,,#CALC!,0
GO:0015205,FALSE,nucleobase transmembrane transporter activity,molecular_function,"Enables the transfer of a nucleobase, any nitrogenous base that is a constituent of a nucleoside, nucleotide, or nucleic acidfrom one side of a membrane to the other.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0015205; GO:0015505,5.77591E-05,4,RT,#CALC!,GO:0015505,GO:0015505,0.0003005
GO:0015212,FALSE,cytidine transmembrane transporter activity,molecular_function,"Enables the transfer of cytidine, cytosine riboside, from one side of a membrane to the other.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0015212,0.000191279,1,RT,#CALC!,,#CALC!,0.000191279
GO:0015213,FALSE,uridine transmembrane transporter activity,molecular_function,"Enables the transfer of uridine, uracil riboside, from one side of a membrane to the other.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0015213,0.000114079,1,RT,#CALC!,,#CALC!,0.000114079
GO:0015218,FALSE,pyrimidine nucleotide transmembrane transporter activity,molecular_function,"Enables the transfer of a pyrimidine nucleotide, any compound consisting of a pyrimidine nucleoside esterified with (ortho)phosphate, from one side of a membrane to the other.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0015218,2.60212E-05,1,RT,#CALC!,,#CALC!,2.60212E-05
GO:0015220,FALSE,choline transmembrane transporter activity,molecular_function,Enables the transfer of choline from one side of a membrane to the other. Choline (2-hydroxyethyltrimethylammonium) is an amino alcohol that occurs widely in living organisms as a constituent of certain types of phospholipids and in the neurotransmitter acetylcholine.,biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0015220,0,0,equal in both,#CALC!,,#CALC!,0
GO:0015230,FALSE,FAD transmembrane transporter activity,molecular_function,"Enables the directed movement of flavin-adenine dinucleotide (FAD) from one side of a membrane to the other. FAD forms the coenzyme of the prosthetic group of various flavoprotein oxidoreductase enzymes, in which it functions as an electron acceptor by being reversibly converted to its reduced form.",biological_process,GO:0008150,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.",GO:0015230,7.59992E-06,1,RT,#CALC!,,#CALC!,7.59992E-06
GO:0015233,FALSE,pantothenate transmembrane transporter activity,molecular_function,"Enables the directed movement of pantothenate across a membrane. Pantothenate is the anion of pantothenic acid, the amide of beta-alanine and pantoic acid; it is a B complex vitamin that is a constituent of coenzyme A and is distributed ubiquitously in foods.",amide transmembrane transporter activity,GO:0042887,molecular_function,"Enables the transfer of an amide, any compound containing one, two, or three acyl groups attached to a nitrogen atom, from one side of a membrane to the other.",GO:0015233,-7.31075E-07,1,SC,#CALC!,,#CALC!,-7.31075E-07
GO:0015247,FALSE,aminophospholipid flippase activity,molecular_function,"Enables the transfer of aminophospholipids from the exoplasmic to the cytosolic leaftlet of a membrane, using energy from the hydrolysis of ATP. Aminophospholipids contain phosphoric acid as a mono- or diester and an amino (NH2) group.",aminophospholipid flippase activity,GO:0015247,molecular_function,"Enables the transfer of aminophospholipids from the exoplasmic to the cytosolic leaftlet of a membrane, using energy from the hydrolysis of ATP. Aminophospholipids contain phosphoric acid as a mono- or diester and an amino (NH2) group.",GO:0015247; GO:0140346,8.36603E-06,1,RT,#CALC!,GO:0140346,GO:0140346,8.36603E-06
GO:0015248,FALSE,sterol transporter activity,molecular_function,"Enables the directed movement of sterols into, out of or within a cell, or between cells. Sterol are steroids with one or more hydroxyl groups and a hydrocarbon side-chain in the molecule.",lipid transporter activity,GO:0005319,molecular_function,"Enables the directed movement of lipids into, out of or within a cell, or between cells.",GO:0015248; GO:0120015,0,0,equal in both,#CALC!,GO:0120015,GO:0120015,0
