id	rxn_src	dir	enz	protein_stoich	status	comments	MW (g/mmol)
RXN-2OSUCAH_c_FWD-rt6557	2OSUCAH_c	FWD	rt6557	rt6557:1	protStoichAsgnAuto		33.7838
RXN-2OXOADPt_c_m_FWD-rt2267	2OXOADPt_c_m	FWD	rt2267	rt2267:1	protStoichAsgnAuto		33.41366
RXN-2OXOADPt_c_m_REV-rt2267	2OXOADPt_c_m	REV	rt2267	rt2267:1	protStoichAsgnAuto		33.41366
RXN-2PHETOHt_c_e_FWD-SPONT	2PHETOHt_c_e	FWD	SPONT	zeroCost	protStoichAsgnAuto		
RXN-2PHETOHt_c_e_REV-SPONT	2PHETOHt_c_e	REV	SPONT	zeroCost	protStoichAsgnAuto		
RXN-2PHETOHt_c_m_FWD-SPONT	2PHETOHt_c_m	FWD	SPONT	zeroCost	protStoichAsgnAuto		
RXN-2PHETOHt_c_m_REV-SPONT	2PHETOHt_c_m	REV	SPONT	zeroCost	protStoichAsgnAuto		
RXN-3C3HMPt_c_e_FWD-SPONT	3C3HMPt_c_e	FWD	SPONT	zeroCost	protStoichAsgnManual		
RXN-3C3HMPt_c_e_REV-SPONT	3C3HMPt_c_e	REV	SPONT	zeroCost	protStoichAsgnManual		
RXN-3C3HMPt_c_m_FWD-SPONT	3C3HMPt_c_m	FWD	SPONT	zeroCost	protStoichAsgnManual		
RXN-3C3HMPt_c_m_REV-SPONT	3C3HMPt_c_m	REV	SPONT	zeroCost	protStoichAsgnManual		
RXN-3C4MOPt_c_m_FWD-SPONT	3C4MOPt_c_m	FWD	SPONT	zeroCost	protStoichAsgnAuto		
RXN-3C4MOPt_c_m_REV-SPONT	3C4MOPt_c_m	REV	SPONT	zeroCost	protStoichAsgnAuto		
RXN-3DHSKD_c_FWD-rt3472	3DHSKD_c	FWD	rt3472	rt3472:1	protStoichAsgnAuto		39.48129
RXN-3DHSKD_c_REV-rt3472	3DHSKD_c	REV	rt3472	rt3472:1	protStoichAsgnAuto		39.48129
RXN-3DSPHR_r_FWD-rt1611	3DSPHR_r	FWD	rt1611	rt1611:1	protStoichAsgnAuto		37.50565999999999
RXN-3HACD200_rm_FWD-rt2309	3HACD200_rm	FWD	rt2309	rt2309:1	protStoichAsgnAuto		31.777070000000005
RXN-3HACD200_rm_REV-rt2309	3HACD200_rm	REV	rt2309	rt2309:1	protStoichAsgnAuto		31.777070000000005
RXN-3HACD220_rm_FWD-rt2309	3HACD220_rm	FWD	rt2309	rt2309:1	protStoichAsgnAuto		31.777070000000005
RXN-3HACD220_rm_REV-rt2309	3HACD220_rm	REV	rt2309	rt2309:1	protStoichAsgnAuto		31.777070000000005
RXN-3HACD240_rm_FWD-rt2309	3HACD240_rm	FWD	rt2309	rt2309:1	protStoichAsgnAuto		31.777070000000005
RXN-3HACD240_rm_REV-rt2309	3HACD240_rm	REV	rt2309	rt2309:1	protStoichAsgnAuto		31.777070000000005
RXN-3HACD260_rm_FWD-rt2309	3HACD260_rm	FWD	rt2309	rt2309:1	protStoichAsgnAuto		31.777070000000005
RXN-3HACD260_rm_REV-rt2309	3HACD260_rm	REV	rt2309	rt2309:1	protStoichAsgnAuto		31.777070000000005
RXN-3HAD100_c_FWD-rt0302	3HAD100_c	FWD	rt0302	rt0302:1	protStoichAsgnAuto		138.63304
RXN-3HAD120_c_FWD-rt0302	3HAD120_c	FWD	rt0302	rt0302:1	protStoichAsgnAuto		138.63304
RXN-3HAD140_c_FWD-rt0302	3HAD140_c	FWD	rt0302	rt0302:1	protStoichAsgnAuto		138.63304
RXN-3HAD160_c_FWD-rt0302	3HAD160_c	FWD	rt0302	rt0302:1	protStoichAsgnAuto		138.63304
RXN-3HAD180_c_FWD-rt0302	3HAD180_c	FWD	rt0302	rt0302:1	protStoichAsgnAuto		138.63304
RXN-3HAD40_c_FWD-rt0302	3HAD40_c	FWD	rt0302	rt0302:1	protStoichAsgnAuto		138.63304
RXN-3HAD40_c_REV-rt0302	3HAD40_c	REV	rt0302	rt0302:1	protStoichAsgnAuto		138.63304
RXN-3HAD40_m_FWD-rt7207_m	3HAD40_m	FWD	rt7207_m	rt7207_m:1	protStoichAsgnAuto		38.114549999999994
RXN-3HAD40_m_REV-rt7207_m	3HAD40_m	REV	rt7207_m	rt7207_m:1	protStoichAsgnAuto		38.114549999999994
RXN-3HAD60_c_FWD-rt0302	3HAD60_c	FWD	rt0302	rt0302:1	protStoichAsgnAuto		138.63304
RXN-3HAD60_m_FWD-rt7207_m	3HAD60_m	FWD	rt7207_m	rt7207_m:1	protStoichAsgnAuto		38.114549999999994
RXN-3HAD60_m_REV-rt7207_m	3HAD60_m	REV	rt7207_m	rt7207_m:1	protStoichAsgnAuto		38.114549999999994
RXN-3HAD80_c_FWD-rt0302	3HAD80_c	FWD	rt0302	rt0302:1	protStoichAsgnAuto		138.63304
RXN-3HAD80_m_FWD-rt7207_m	3HAD80_m	FWD	rt7207_m	rt7207_m:1	protStoichAsgnAuto		38.114549999999994
RXN-3HAD80_m_REV-rt7207_m	3HAD80_m	REV	rt7207_m	rt7207_m:1	protStoichAsgnAuto		38.114549999999994
RXN-3HAO_c_FWD-rt0234	3HAO_c	FWD	rt0234	rt0234:1	protStoichAsgnAuto		21.84755
RXN-3HBHYOX_c_FWD-rt5813	3HBHYOX_c	FWD	rt5813	rt5813:1	protStoichAsgnAuto		107.27321
RXN-3HBRDH_c_FWD-rt4427	3HBRDH_c	FWD	rt4427	rt4427:1	protStoichAsgnAuto		31.139850000000003
RXN-3HBRDH_c_REV-rt4427	3HBRDH_c	REV	rt4427	rt4427:1	protStoichAsgnAuto		31.139850000000003
RXN-3HCINNMH_c_FWD-rt6518	3HCINNMH_c	FWD	rt6518	rt6518:1	protStoichAsgnAuto		72.32694999999998
RXN-3HPPPNH_c_FWD-rt6518	3HPPPNH_c	FWD	rt6518	rt6518:1	protStoichAsgnAuto		72.32694999999998
RXN-3HXPHBt_c_m_FWD-SPONT	3HXPHBt_c_m	FWD	SPONT	zeroCost	protStoichAsgnAuto		
RXN-3HXPHBt_c_m_REV-SPONT	3HXPHBt_c_m	REV	SPONT	zeroCost	protStoichAsgnAuto		
RXN-3INDACNLAH_c_FWD-rt4042	3INDACNLAH_c	FWD	rt4042	rt4042:1	protStoichAsgnAuto		32.42655
RXN-3INDACNLAH_c_REV-rt4042	3INDACNLAH_c	REV	rt4042	rt4042:1	protStoichAsgnAuto		32.42655
RXN-3IPM3MT_c_FWD-rt6691	3IPM3MT_c	FWD	rt6691	rt6691:1	protStoichAsgnAuto		39.210190000000004
RXN-3MBALDt_c_e_FWD-SPONT	3MBALDt_c_e	FWD	SPONT	zeroCost	protStoichAsgnAuto		
RXN-3MBALDt_c_e_REV-SPONT	3MBALDt_c_e	REV	SPONT	zeroCost	protStoichAsgnAuto		
RXN-3MBALDt_c_m_FWD-SPONT	3MBALDt_c_m	FWD	SPONT	zeroCost	protStoichAsgnAuto		
RXN-3MBALDt_c_m_REV-SPONT	3MBALDt_c_m	REV	SPONT	zeroCost	protStoichAsgnAuto		
RXN-3MLCLAT_mm_FWD-rt8106	3MLCLAT_mm	FWD	rt8106	rt8106:1	protStoichAsgnAuto		33.74957
RXN-3MLCLAT_mm_REV-rt8106	3MLCLAT_mm	REV	rt8106	rt8106:1	protStoichAsgnAuto		33.74957
RXN-3MOBDC_c_FWD-rt7423	3MOBDC_c	FWD	rt7423	rt7423:1	protStoichAsgnAuto		75.14811
RXN-3MOBR_m_FWD-rt41987068	3MOBR_m	FWD	rt41987068	rt4198:1,rt7068:1	protStoichAsgnManual	Changed GPR to include only proteins mentioning 2-oxoisovalerate or its synonyms on UniProt	98.05355
RXN-3MOBR_m_REV-rt41987068	3MOBR_m	REV	rt41987068	rt4198:1,rt7068:1	protStoichAsgnManual	Changed GPR to include only proteins mentioning 2-oxoisovalerate or its synonyms on UniProt	98.05355
RXN-3MOPDC_c_FWD-rt7423	3MOPDC_c	FWD	rt7423	rt7423:1	protStoichAsgnAuto		75.14811
RXN-3MOPR_m_FWD-rt4198	3MOPR_m	FWD	rt4198	rt4198:1	protStoichAsgnManual	Could only find alpha subunit	49.57215000000001
RXN-3MOPR_m_REV-rt4198	3MOPR_m	REV	rt4198	rt4198:1	protStoichAsgnManual	Could only find alpha subunit	49.57215000000001
RXN-3MOPt_c_e_FWD-SPONT	3MOPt_c_e	FWD	SPONT	zeroCost	protStoichAsgnAuto		
RXN-3MOPt_c_e_REV-SPONT	3MOPt_c_e	REV	SPONT	zeroCost	protStoichAsgnAuto		
RXN-3NP4H5MOBCL_m_FWD-SPONT	3NP4H5MOBCL_m	FWD	SPONT	zeroCost	protStoichAsgnAuto		
RXN-3NPDHBZH_m_FWD-rt7829	3NPDHBZH_m	FWD	rt7829	rt7829:1	protStoichAsgnManual	 	67.45538
RXN-3NPDHMT_m_FWD-rt3097	3NPDHMT_m	FWD	rt3097	rt3097:1	protStoichAsgnManual	 	37.09733
RXN-3OACE200_rm_FWD-rt2975	3OACE200_rm	FWD	rt2975	rt2975:1	protStoichAsgnAuto	 	36.427749999999996
RXN-3OACE200_rm_FWD-rt8287	3OACE200_rm	FWD	rt8287	rt8287:1	protStoichAsgnAuto	 	51.65118000000001
RXN-3OACE220_rm_FWD-rt2975	3OACE220_rm	FWD	rt2975	rt2975:1	protStoichAsgnAuto	 	36.427749999999996
RXN-3OACE220_rm_FWD-rt8287	3OACE220_rm	FWD	rt8287	rt8287:1	protStoichAsgnAuto	 	51.65118000000001
RXN-3OACE240_rm_FWD-rt2975	3OACE240_rm	FWD	rt2975	rt2975:1	protStoichAsgnAuto	 	36.427749999999996
RXN-3OACE240_rm_FWD-rt8287	3OACE240_rm	FWD	rt8287	rt8287:1	protStoichAsgnAuto	 	51.65118000000001
RXN-3OACE260_rm_FWD-rt2975	3OACE260_rm	FWD	rt2975	rt2975:1	protStoichAsgnAuto	 	36.427749999999996
RXN-3OACE260_rm_FWD-rt8287	3OACE260_rm	FWD	rt8287	rt8287:1	protStoichAsgnAuto	 	51.65118000000001
RXN-3OACR200_rm_FWD-rt8327	3OACR200_rm	FWD	rt8327	rt8327:1	protStoichAsgnAuto	 	37.97338
RXN-3OACR220_rm_FWD-rt8327	3OACR220_rm	FWD	rt8327	rt8327:1	protStoichAsgnAuto	 	37.97338
RXN-3OACR240_rm_FWD-rt8327	3OACR240_rm	FWD	rt8327	rt8327:1	protStoichAsgnAuto	 	37.97338
RXN-3OACR260_rm_FWD-rt8327	3OACR260_rm	FWD	rt8327	rt8327:1	protStoichAsgnAuto	 	37.97338
RXN-3OADPCOAT_m_FWD-rt4722	3OADPCOAT_m	FWD	rt4722	rt4722:1	protStoichAsgnAuto	 	55.635139999999986
RXN-3OADPCOAT_m_REV-rt4722	3OADPCOAT_m	REV	rt4722	rt4722:1	protStoichAsgnAuto	 	55.635139999999986
RXN-3OAR100_c_FWD-rt0409	3OAR100_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 	321.03739
RXN-3OAR100_c_FWD-rt1363	3OAR100_c	FWD	rt1363	rt1363:1	protStoichAsgnAuto	 	32.0788
RXN-3OAR100_c_FWD-rt2183	3OAR100_c	FWD	rt2183	rt2183:1	protStoichAsgnAuto	 	31.417429999999996
RXN-3OAR100_c_FWD-rt2190	3OAR100_c	FWD	rt2190	rt2190:1	protStoichAsgnAuto	 	30.890879999999996
RXN-3OAR100_c_REV-rt0409	3OAR100_c	REV	rt0409	rt0409:1	protStoichAsgnManual	 	321.03739
RXN-3OAR100_c_REV-rt1363	3OAR100_c	REV	rt1363	rt1363:1	protStoichAsgnManual	 	32.0788
RXN-3OAR100_c_REV-rt2183	3OAR100_c	REV	rt2183	rt2183:1	protStoichAsgnManual	 	31.417429999999996
RXN-3OAR100_c_REV-rt2190	3OAR100_c	REV	rt2190	rt2190:1	protStoichAsgnManual	 	30.890879999999996
RXN-3OAR120_c_FWD-rt0409	3OAR120_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 	321.03739
RXN-3OAR120_c_FWD-rt1363	3OAR120_c	FWD	rt1363	rt1363:1	protStoichAsgnAuto	 	32.0788
RXN-3OAR120_c_FWD-rt2183	3OAR120_c	FWD	rt2183	rt2183:1	protStoichAsgnAuto	 	31.417429999999996
RXN-3OAR120_c_FWD-rt2190	3OAR120_c	FWD	rt2190	rt2190:1	protStoichAsgnAuto	 	30.890879999999996
RXN-3OAR120_c_REV-rt0409	3OAR120_c	REV	rt0409	rt0409:1	protStoichAsgnManual	 	321.03739
RXN-3OAR120_c_REV-rt1363	3OAR120_c	REV	rt1363	rt1363:1	protStoichAsgnManual	 	32.0788
RXN-3OAR120_c_REV-rt2183	3OAR120_c	REV	rt2183	rt2183:1	protStoichAsgnManual	 	31.417429999999996
RXN-3OAR120_c_REV-rt2190	3OAR120_c	REV	rt2190	rt2190:1	protStoichAsgnManual	 	30.890879999999996
RXN-3OAR140_c_FWD-rt0409	3OAR140_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 	321.03739
RXN-3OAR140_c_FWD-rt1363	3OAR140_c	FWD	rt1363	rt1363:1	protStoichAsgnAuto	 	32.0788
RXN-3OAR140_c_FWD-rt2183	3OAR140_c	FWD	rt2183	rt2183:1	protStoichAsgnAuto	 	31.417429999999996
RXN-3OAR140_c_FWD-rt2190	3OAR140_c	FWD	rt2190	rt2190:1	protStoichAsgnAuto	 	30.890879999999996
RXN-3OAR140_c_REV-rt0409	3OAR140_c	REV	rt0409	rt0409:1	protStoichAsgnManual	 	321.03739
RXN-3OAR140_c_REV-rt1363	3OAR140_c	REV	rt1363	rt1363:1	protStoichAsgnManual	 	32.0788
RXN-3OAR140_c_REV-rt2183	3OAR140_c	REV	rt2183	rt2183:1	protStoichAsgnManual	 	31.417429999999996
RXN-3OAR140_c_REV-rt2190	3OAR140_c	REV	rt2190	rt2190:1	protStoichAsgnManual	 	30.890879999999996
RXN-3OAR160_c_FWD-rt0409	3OAR160_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 	321.03739
RXN-3OAR160_c_FWD-rt1363	3OAR160_c	FWD	rt1363	rt1363:1	protStoichAsgnAuto	 	32.0788
RXN-3OAR160_c_FWD-rt2183	3OAR160_c	FWD	rt2183	rt2183:1	protStoichAsgnAuto	 	31.417429999999996
RXN-3OAR160_c_FWD-rt2190	3OAR160_c	FWD	rt2190	rt2190:1	protStoichAsgnAuto	 	30.890879999999996
RXN-3OAR160_c_REV-rt0409	3OAR160_c	REV	rt0409	rt0409:1	protStoichAsgnManual	 	321.03739
RXN-3OAR160_c_REV-rt1363	3OAR160_c	REV	rt1363	rt1363:1	protStoichAsgnManual	 	32.0788
RXN-3OAR160_c_REV-rt2183	3OAR160_c	REV	rt2183	rt2183:1	protStoichAsgnManual	 	31.417429999999996
RXN-3OAR160_c_REV-rt2190	3OAR160_c	REV	rt2190	rt2190:1	protStoichAsgnManual	 	30.890879999999996
RXN-3OAR180_c_FWD-rt0409	3OAR180_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 	321.03739
RXN-3OAR180_c_FWD-rt1363	3OAR180_c	FWD	rt1363	rt1363:1	protStoichAsgnAuto	 	32.0788
RXN-3OAR180_c_FWD-rt2183	3OAR180_c	FWD	rt2183	rt2183:1	protStoichAsgnAuto	 	31.417429999999996
RXN-3OAR180_c_FWD-rt2190	3OAR180_c	FWD	rt2190	rt2190:1	protStoichAsgnAuto	 	30.890879999999996
RXN-3OAR180_c_REV-rt0409	3OAR180_c	REV	rt0409	rt0409:1	protStoichAsgnManual	 	321.03739
RXN-3OAR180_c_REV-rt1363	3OAR180_c	REV	rt1363	rt1363:1	protStoichAsgnManual	 	32.0788
RXN-3OAR180_c_REV-rt2183	3OAR180_c	REV	rt2183	rt2183:1	protStoichAsgnManual	 	31.417429999999996
RXN-3OAR180_c_REV-rt2190	3OAR180_c	REV	rt2190	rt2190:1	protStoichAsgnManual	 	30.890879999999996
RXN-3OAR40_c_FWD-rt0409	3OAR40_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 	321.03739
RXN-3OAR40_c_FWD-rt1363	3OAR40_c	FWD	rt1363	rt1363:1	protStoichAsgnAuto	 	32.0788
RXN-3OAR40_c_FWD-rt2183	3OAR40_c	FWD	rt2183	rt2183:1	protStoichAsgnAuto	 	31.417429999999996
RXN-3OAR40_c_FWD-rt2190	3OAR40_c	FWD	rt2190	rt2190:1	protStoichAsgnAuto	 	30.890879999999996
RXN-3OAR40_c_REV-rt0409	3OAR40_c	REV	rt0409	rt0409:1	protStoichAsgnManual	 	321.03739
RXN-3OAR40_c_REV-rt1363	3OAR40_c	REV	rt1363	rt1363:1	protStoichAsgnManual	 	32.0788
RXN-3OAR40_c_REV-rt2183	3OAR40_c	REV	rt2183	rt2183:1	protStoichAsgnManual	 	31.417429999999996
RXN-3OAR40_c_REV-rt2190	3OAR40_c	REV	rt2190	rt2190:1	protStoichAsgnManual	 	30.890879999999996
RXN-3OAR40_m_FWD-rt1622_m	3OAR40_m	FWD	rt1622_m	rt1622_m:1	protStoichAsgnAuto	 	43.65615
RXN-3OAR60_c_FWD-rt0409	3OAR60_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 	321.03739
RXN-3OAR60_c_FWD-rt1363	3OAR60_c	FWD	rt1363	rt1363:1	protStoichAsgnAuto	 	32.0788
RXN-3OAR60_c_FWD-rt2183	3OAR60_c	FWD	rt2183	rt2183:1	protStoichAsgnAuto	 	31.417429999999996
RXN-3OAR60_c_FWD-rt2190	3OAR60_c	FWD	rt2190	rt2190:1	protStoichAsgnAuto	 	30.890879999999996
RXN-3OAR60_c_REV-rt0409	3OAR60_c	REV	rt0409	rt0409:1	protStoichAsgnManual	 	321.03739
RXN-3OAR60_c_REV-rt1363	3OAR60_c	REV	rt1363	rt1363:1	protStoichAsgnManual	 	32.0788
RXN-3OAR60_c_REV-rt2183	3OAR60_c	REV	rt2183	rt2183:1	protStoichAsgnManual	 	31.417429999999996
RXN-3OAR60_c_REV-rt2190	3OAR60_c	REV	rt2190	rt2190:1	protStoichAsgnManual	 	30.890879999999996
RXN-3OAR60_m_FWD-rt1622_m	3OAR60_m	FWD	rt1622_m	rt1622_m:1	protStoichAsgnAuto	 	43.65615
RXN-3OAR80_c_FWD-rt0409	3OAR80_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 	321.03739
RXN-3OAR80_c_FWD-rt1363	3OAR80_c	FWD	rt1363	rt1363:1	protStoichAsgnAuto	 	32.0788
RXN-3OAR80_c_FWD-rt2183	3OAR80_c	FWD	rt2183	rt2183:1	protStoichAsgnAuto	 	31.417429999999996
RXN-3OAR80_c_FWD-rt2190	3OAR80_c	FWD	rt2190	rt2190:1	protStoichAsgnAuto	 	30.890879999999996
RXN-3OAR80_c_REV-rt0409	3OAR80_c	REV	rt0409	rt0409:1	protStoichAsgnManual	 	321.03739
RXN-3OAR80_c_REV-rt1363	3OAR80_c	REV	rt1363	rt1363:1	protStoichAsgnManual	 	32.0788
RXN-3OAR80_c_REV-rt2183	3OAR80_c	REV	rt2183	rt2183:1	protStoichAsgnManual	 	31.417429999999996
RXN-3OAR80_c_REV-rt2190	3OAR80_c	REV	rt2190	rt2190:1	protStoichAsgnManual	 	30.890879999999996
RXN-3OAR80_m_FWD-rt1622_m	3OAR80_m	FWD	rt1622_m	rt1622_m:1	protStoichAsgnAuto	 	43.65615
RXN-3OAS100_c_FWD-rt0409	3OAS100_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 	321.03739
RXN-3OAS120_c_FWD-rt0409	3OAS120_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 	321.03739
RXN-3OAS140_c_FWD-rt0409	3OAS140_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 	321.03739
RXN-3OAS160_c_FWD-rt0409	3OAS160_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 	321.03739
RXN-3OAS180_c_FWD-rt0409	3OAS180_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 	321.03739
RXN-3OAS40_c_FWD-rt0409	3OAS40_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 	321.03739
RXN-3OAS40_c_REV-rt0409	3OAS40_c	REV	rt0409	rt0409:1	protStoichAsgnAuto	 	321.03739
RXN-3OAS60_c_FWD-rt0409	3OAS60_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 	321.03739
RXN-3OAS80_c_FWD-rt0409	3OAS80_c	FWD	rt0409	rt0409:1	protStoichAsgnAuto	 	321.03739
RXN-4ABUTNt_c_m_FWD-SPONT	4ABUTNt_c_m	FWD	SPONT	zeroCost	protStoichAsgnAuto		
RXN-4ABUTNt_c_m_REV-SPONT	4ABUTNt_c_m	REV	SPONT	zeroCost	protStoichAsgnAuto		
RXN-4ABUTt_c_m_FWD-SPONT	4ABUTt_c_m	FWD	SPONT	zeroCost	protStoichAsgnAuto		
RXN-4ABUTt_c_m_REV-SPONT	4ABUTt_c_m	REV	SPONT	zeroCost	protStoichAsgnAuto		
RXN-4ABUTtps_e_FWD-rt2901	4ABUTtps_e	FWD	rt2901	rt2901:1	protStoichAsgnAuto		60.23484000000001
RXN-4ABUTtps_e_FWD-rt4390	4ABUTtps_e	FWD	rt4390	rt4390:1	protStoichAsgnAuto		60.70221999999998
RXN-4ABZt_c_e_FWD-SPONT	4ABZt_c_e	FWD	SPONT	zeroCost	protStoichAsgnAuto		
RXN-4ABZt_c_e_REV-SPONT	4ABZt_c_e	REV	SPONT	zeroCost	protStoichAsgnAuto		
RXN-4ABZt_c_m_FWD-SPONT	4ABZt_c_m	FWD	SPONT	zeroCost	protStoichAsgnAuto		
RXN-4ABZt_c_m_REV-SPONT	4ABZt_c_m	REV	SPONT	zeroCost	protStoichAsgnAuto		
RXN-4AMPMS_c_FWD-rt2779	4AMPMS_c	FWD	rt2779	rt2779:2	protStoichAsgnAuto		65.19787999999998
RXN-4CMCOAL_c_FWD-rt3465	4CMCOAL_c	FWD	rt3465	rt3465_c:1	protStoichAsgnAuto		61.76718999999999
RXN-4CMCOAL_c_FWD-rt5332	4CMCOAL_c	FWD	rt5332	rt5332_c:1	protStoichAsgnAuto		67.00503000000002
RXN-4CMCOAL_c_FWD-rt6434_c	4CMCOAL_c	FWD	rt6434_c	rt6434_c:1	protStoichAsgnAuto		59.91424000000001
RXN-4CMCOAL_c_FWD-rt8267_c	4CMCOAL_c	FWD	rt8267_c	rt8267_c:1	protStoichAsgnAuto		68.49440999999999
RXN-4CMCOAL_x_FWD-rt3465_x	4CMCOAL_x	FWD	rt3465_x	rt3465_x:1	protStoichAsgnAuto		61.76718999999999
RXN-4CMCOAL_x_FWD-rt5332_x	4CMCOAL_x	FWD	rt5332_x	rt5332_x:1	protStoichAsgnAuto		67.00503000000002
RXN-4CMCOAL_x_FWD-rt6434_x	4CMCOAL_x	FWD	rt6434_x	rt6434_x:1	protStoichAsgnAuto		59.91424000000001
RXN-4CMCOAL_x_FWD-rt8267_x	4CMCOAL_x	FWD	rt8267_x	rt8267_x:1	protStoichAsgnAuto		68.49440999999999
RXN-4DPMIPPH_c_FWD-rt1973	4DPMIPPH_c	FWD	rt1973	rt1973:1	protStoichAsgnAuto		109.52633999999999
